Tanggal,No. Reff,Keterangan,Kode Akun,Debit,Kredit
2025-12-06,REF-104,Pembelian Peralatan Kredit,21201,0,3800000
2025-12-06,REF-133,Pembayaran Gaji Karyawan,52100,2500000,0
2025-12-06,REF-133,Pembayaran Gaji Karyawan,11101,0,2500000
2025-12-07,REF-129,Biaya Admin Bank,11111,0,1800000
2025-12-07,REF-129,Biaya Admin Bank,53000,1800000,0
2025-12-08,REF-127,Pelunasan Utang Usaha via Bank,11111,0,4200000
2025-12-08,REF-127,Pelunasan Utang Usaha via Bank,21201,4200000,0
2025-12-09,REF-145,Setor Tunai ke Bank,11101,0,600000
2025-12-09,REF-145,Setor Tunai ke Bank,11111,600000,0
2025-12-09,REF-139,Biaya Admin Bank,53000,1100000,0
2025-12-09,REF-139,Biaya Admin Bank,11111,0,1100000
2025-12-10,REF-153,Penerimaan Pelunasan Piutang,11200,0,4900000
2025-12-10,REF-153,Penerimaan Pelunasan Piutang,11101,4900000,0
2025-12-10,REF-113,Setor Tunai ke Bank,11111,2200000,0
2025-12-10,REF-113,Setor Tunai ke Bank,11101,0,2200000
2025-12-11,REF-120,Pelunasan Utang Usaha via Bank,21201,3200000,0
2025-12-11,REF-120,Pelunasan Utang Usaha via Bank,11111,0,3200000
2025-12-11,REF-126,Setoran Modal Awal,31000,0,4700000
2025-12-11,REF-126,Setoran Modal Awal,11101,4700000,0
2025-12-13,REF-103,Bayar Listrik & Air,52300,1700000,0
2025-12-13,REF-103,Bayar Listrik & Air,11101,0,1700000
2025-12-13,REF-140,Pelunasan Utang Usaha via Bank,11111,0,4500000
2025-12-13,REF-140,Pelunasan Utang Usaha via Bank,21201,4500000,0
2025-12-16,REF-141,Penerimaan Pelunasan Piutang,11200,0,800000
2025-12-16,REF-141,Penerimaan Pelunasan Piutang,11101,800000,0
2025-12-16,REF-109,Setor Tunai ke Bank,11101,0,1900000
2025-12-16,REF-109,Setor Tunai ke Bank,11111,1900000,0
2025-12-16,REF-110,Pembelian Peralatan Kredit,12100,2900000,0
2025-12-16,REF-110,Pembelian Peralatan Kredit,21201,0,2900000
2025-12-17,REF-122,Penerimaan Pelunasan Piutang,11200,0,1600000
2025-12-17,REF-122,Penerimaan Pelunasan Piutang,11101,1600000,0
2025-12-17,REF-136,Penjualan Produk Kredit,11200,1200000,0
2025-12-17,REF-136,Penjualan Produk Kredit,41000,0,1200000
2025-12-19,REF-107,Penjualan Produk Kredit,11200,3400000,0
2025-12-19,REF-107,Penjualan Produk Kredit,41000,0,3400000
2025-12-20,REF-119,Biaya Admin Bank,11111,0,4900000
2025-12-20,REF-119,Biaya Admin Bank,53000,4900000,0
2025-12-21,REF-116,Penerimaan Pelunasan Piutang,11101,1200000,0
2025-12-21,REF-116,Penerimaan Pelunasan Piutang,11200,0,1200000
2025-12-24,REF-150,Penjualan Produk Kredit,41000,0,1100000
2025-12-24,REF-150,Penjualan Produk Kredit,11200,1100000,0
2025-12-26,REF-115,Bayar Listrik & Air,52300,1000000,0
2025-12-26,REF-115,Bayar Listrik & Air,11101,0,1000000
2025-12-27,REF-137,Pembelian Persediaan Beras Kredit,21201,0,2700000
2025-12-27,REF-137,Pembelian Persediaan Beras Kredit,11301,2700000,0
2025-12-27,REF-134,Pelunasan Utang Usaha via Bank,11111,0,1800000
2025-12-27,REF-134,Pelunasan Utang Usaha via Bank,21201,1800000,0
2025-12-28,REF-108,Setoran Modal Awal,31000,0,3900000
2025-12-28,REF-108,Setoran Modal Awal,11101,3900000,0
2025-12-28,REF-121,Pelunasan Utang Usaha via Bank,21201,3500000,0
2025-12-28,REF-121,Pelunasan Utang Usaha via Bank,11111,0,3500000
2025-12-31,REF-149,Pembelian Perlengkapan Tunai,11101,0,1400000
2025-12-31,REF-149,Pembelian Perlengkapan Tunai,11500,1400000,0
2025-12-31,REF-132,Setor Tunai ke Bank,11101,0,3100000
2025-12-31,REF-132,Setor Tunai ke Bank,11111,3100000,0
